source_file,broker,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,raw_row_index,instrument_name,instrument_code_raw,instrument_code_std,exchange,asset_type,quantity,unit_cost,cost,market_price,market_value,unrealized_pnl,subject_code,subject_name,suspension_info,review_flag,review_note
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),57,杰瑞股份,002353,002353.SZ,SZ,a_share,1318700.0,37.37,49285659.36,37.12,48950144.0,-335515.36,11023101002353,杰瑞股份,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),58,海康威视,002415,002415.SZ,SZ,a_share,4137233.0,37.88,156738143.4,31.08,128585201.64,-28152941.76,11023101002415,海康威视,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),59,立讯精密,002475,002475.SZ,SZ,a_share,5388600.0,34.09,183689901.78,40.78,219747108.0,36057206.22,11023101002475,立讯精密,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),68,腾讯控股,00700,00700.HK,HK,hk_equity,49700.0,394.73,19618008.19,476.07,23660564.69,4042556.5,11028101H00700,腾讯控股,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),69,理想汽车－Ｗ,02015,02015.HK,HK,hk_equity,628800.0,96.49,60675526.64,96.52,60693637.25,18110.61,11028101H02015,理想汽车－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),70,安踏体育,02020,02020.HK,HK,hk_equity,1411800.0,78.66,111055429.26,83.71,118180860.33,7125431.07,11028101H02020,安踏体育,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),71,申洲国际,02313,02313.HK,HK,hk_equity,65200.0,57.17,3727492.82,57.29,3735120.55,7627.73,11028101H02313,申洲国际,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),72,康方生物－Ｂ,09926,09926.HK,HK,hk_equity,1364000.0,56.35,76865159.77,66.36,90514405.74,13649245.97,11028101H09926,康方生物－Ｂ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),73,阿里巴巴－Ｗ,09988,09988.HK,HK,hk_equity,526900.0,88.65,46710189.29,121.68,64114525.06,17404335.77,11028101H09988,阿里巴巴－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),83,惠泰医疗,688617,688617.SH,SH,a_share,5290.0,366.29,1937679.98,393.0,2078970.0,141290.02,1102C101688617,惠泰医疗,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),42,万华化学,600309,600309.SH,SH,a_share,866100.0,84.6,73273976.1,68.53,59353833.0,-13920143.1,11020101600309,万华化学,正常交易,,
