证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
22060102,应付B类管理费,,,"113,817.69",0.0088,,"113,817.69",0.0088,,,
2207,应付托管费,,,"77,972.79",0.006,,"77,972.79",0.006,,,
220701,应付托管费,,,"77,972.79",0.006,,"77,972.79",0.006,,,
2221,应交税费,,,"1,113,604.08",0.0861,,"1,113,604.08",0.0861,,,
222105,应交税费-应交增值税,,,"557,682.89",0.0431,,"557,682.89",0.0431,,,
22210502,应交税费-应交增值税-金融商品转让销项税,,,"557,682.89",0.0431,,"557,682.89",0.0431,,,
222106,应交税费-暂估增值税,,,"436,606.47",0.0338,,"436,606.47",0.0338,,,
222107,应交税费-附加税,,,"66,921.95",0.0052,,"66,921.95",0.0052,,,
222108,应交税费-暂估附加税,,,"52,392.77",0.0041,,"52,392.77",0.0041,,,
3003,证券清算款,,,"-3,734,985.74",-0.2889,,"-3,734,985.74",-0.2889,,,
300324,港股通证券清算款,,,"-3,734,985.74",-0.2889,,"-3,734,985.74",-0.2889,,,
30032401,证券清算款港股通,,,"-3,734,985.74",-0.2889,,"-3,734,985.74",-0.2889,,,
30032401000040,中信建投证券,,,"-2,949,826.53",-0.2282,,"-2,949,826.53",-0.2282,,,
30032401000092,长江证券,,,"-108,794.16",-0.0084,,"-108,794.16",-0.0084,,,
300324010000B5,国联证券,,,"-676,365.05",-0.0523,,"-676,365.05",-0.0523,,,
3102,衍生工具,,,"8,740,150.74",0.676,,"-2,414,904.20",-0.1868,"-11,155,054.94",,
3102A1,场外指数期权_权利方,,,"8,740,150.74",0.676,,"5,547,181.20",0.4291,"-3,192,969.54",,
3102A101,衍生工具_场外指数期权初始合约价值_权利方,,,"108,020,345.31",8.3553,,"108,020,345.31",8.3553,,,
3102A101000002,中信证券20221024@场外期权,,,"6,489,421.42",0.502,,"6,489,421.42",0.502,,,
3102A101000003,国君证券OP-020039,,,"42,854,060.45",3.3147,,"42,854,060.45",3.3147,,,
3102A101000004,申万宏源OP-2177001,,,"43,676,863.44",3.3784,,"43,676,863.44",3.3784,,,
3102A101000005,中金场外期权-938001,,,"15,000,000.00",1.1602,,"15,000,000.00",1.1602,,,
